tweet_id,airline_sentiment,is_reply,reply_count,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,users,hashtags
9.42743012337123E+017,positive,False,0,0,"""Los pilotos de Ryanair desconvocan la huelga tras ver reconocidos sus sindicatos"" by El País via Últimas noticias… https://t.co/80Fz6dxP9t",,Mon Dec 18 13:07:04 +0000 2017,,Dublin,,
9.26857871916184E+017,positive,True,0,0,"@Iberia @lavecinarubia Si ,por favor las declaraciones de amor entre los  #rubijarena no  pueden quedarse en una ma… https://t.co/GWKJGhhubY",,Sat Nov 04 17:05:11 +0000 2017,,,Iberia|lavecinarubia,rubijarena
9.36979305720091E+017,neutral,True,0,0,@Iberia Me dirías por favor que costo tiene?,,Sat Dec 02 15:24:09 +0000 2017,,,Iberia,
9.43983853802328E+017,negative,True,0,0,"@SupermanlopezN @Iberia @giroditalia Champion, no vuele más con esos descarados.",,Thu Dec 21 23:17:43 +0000 2017,,Central Time (US & Canada),SupermanlopezN|Iberia|giroditalia,
9.38207464457212E+017,negative,True,0,0,@SrtaFarrellDM @KLM @Iberia Eso de avianca es verdad a mi mama le paso dos veces terrible esa aerolínea 😤,,Wed Dec 06 00:44:25 +0000 2017,,Eastern Time (US & Canada),SrtaFarrellDM|KLM|Iberia,
9.31526746301715E+017,neutral,True,0,0,"@Iberia hola, no conozco mi numéro IBERIA PLUS, ellos pueden ayudar? mail ackerm@gmx.de - (tengo el código PIN); gracias",,Fri Nov 17 14:17:37 +0000 2017,,,Iberia|gmx,
9.33385784228532E+017,neutral,False,0,0,"El canal Smithsonian reconstruye en video el accidente aereo de Spanair en Barajas, el masmortifero en España en 25… https://t.co/DwDDLA8wT9",,Wed Nov 22 17:24:47 +0000 2017,,,,
9.32856751099142E+017,positive,False,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/z7mnq6ue9X",,Tue Nov 21 06:22:35 +0000 2017,,,Iberia,HolaColombia
9.2762353058551E+017,negative,True,0,0,"@facua Pueden ayudarme con una maleta perdida por iberia? por favor, no hacen nada por buscarla y el telefono de reclamacion es un 901",,Mon Nov 06 19:47:38 +0000 2017,,,facua,
9.30719355704431E+017,neutral,False,0,0,RT @muchachino: En el sistema de entretenimiento de @iberia se pueden favoritear contenidos lo cuál es útil para h… https://t.co/922T9wNxEW,,Wed Nov 15 08:49:20 +0000 2017,,Karachi,muchachino|iberia,
