tweet_id,airline_sentiment,airline,lat,lon,tweet_location,tt_lat,tt_lng,user_timezone,usr_lat,usr_lng,hour,date,dow
942743012337122944,positive,,,,,,,Dublin,53.3498053,-6.2603097,13,2017-12-18,0
926857871916184064,positive,Iberia|lavecinarubia,,,,,,,,,17,2017-11-04,5
936979305720091008,neutral,Iberia,,,,,,,,,15,2017-12-02,5
943983853802328064,negative,SupermanlopezN|Iberia|giroditalia,,,,,,Central Time (US & Canada),37.09024,-95.712891,23,2017-12-21,3
938207464457212032,negative,SrtaFarrellDM|KLM|Iberia,,,,,,Eastern Time (US & Canada),37.51647579999999,-82.8067126,0,2017-12-06,2
931526746301714944,neutral,Iberia|gmx,,,,,,,,,14,2017-11-17,4
933385784228531968,neutral,,,,,,,,,,17,2017-11-22,2
932856751099142016,positive,Iberia,,,,,,,,,6,2017-11-21,1
927623530585510016,negative,facua,,,,,,,,,19,2017-11-06,0
930719355704430976,neutral,muchachino|iberia,,,,,,Karachi,24.90560000000005,67.08220000000006,8,2017-11-15,2
938115911084593024,negative,paugasol|Iberia,,,,,,Pacific Time (US & Canada),54.80707000000007,-128.27896999999996,18,2017-12-05,1
944883680970968960,negative,Iberia,,,,,,Pacific Time (US & Canada),54.80707000000007,-128.27896999999996,10,2017-12-24,6
937549230994050944,positive,Iberia,,,,,,Central Time (US & Canada),37.09024,-95.712891,5,2017-12-04,0
941081978807431040,neutral,,,,,,,Pacific Time (US & Canada),54.80707000000007,-128.27896999999996,23,2017-12-13,2
933352064910013056,neutral,Iberia,,,,,,,,,15,2017-11-22,2
941598213106228992,positive,CapitalRadioB,,,,,,Madrid,40.42028000000005,-3.7057699999999727,9,2017-12-15,4
923921122495787008,negative,,,,,,,Madrid,40.42028000000005,-3.7057699999999727,14,2017-10-27,4
931611760829792000,neutral,Iberia,,,,,,,,,19,2017-11-17,4
943844779976208000,neutral,Iberia,,,,,,,,,14,2017-12-21,3
941121849366368000,positive,,,,,,,Mexico City,19.431940000000054,-99.13314999999994,1,2017-12-14,3
942150441445548032,neutral,,,,,,,,,,21,2017-12-16,5
941436315547128064,neutral,Iberia|TIBURONSANZ,,,,,,Madrid,40.42028000000005,-3.7057699999999727,22,2017-12-14,3
